Id_number	Accession_name	Leaf-type	Leaflet-shape (in the first flowering node)	Leaflet-margin shape on the second real leaf	Leaflet-margin shape at the first flowering node	Leaflet-appex shape	Leaflet-colour	Leaflet-waxy bloom	Stipules-character of anthocyan spot	Tendrils of leaf-shape	Flower-vexillium colour	Flower-wings colour	Pea mosaic virus-resistance	Pea enation mosaic virus-resistance
L0200323	Dorina	5.00	3.00	1.50	1.00	2.25	2.75	3.50	5.00	7.00	7.25	7.25	4.00	4.50
L0200324	Ornamenta	5.00	2.25	1.00	1.50	2.25	4.50	5.50	5.00	4.50	5.50	5.75	4.00	3.50
L0200325	Rustica	5.00	3.25	1.25	1.00	2.50	3.75	4.50	4.00	3.50	7.25	8.50	4.50	4.00
L0200326	Hoju-Oh-Say_aEndo	5.00	2.75	2.00	1.00	2.00	4.50	5.50	5.00	6.50	7.00	6.00	2.25	2.50
L0200327	Kama-Kura_Endo	5.00	2.75	1.25	1.00	1.50	4.75	5.00	4.50	5.00	7.00	7.25	2.75	2.75
L0200328	Pisum_arvense_W-725	5.00	4.75	1.00	1.25	2.50	4.25	4.50	3.50	5.50	7.00	8.00	3.00	3.50
L0200329	Pisum_arvense_15248	5.00	5.75	1.25	1.00	2.25	3.25	4.50	5.00	4.50	7.50	7.00	2.50	3.00
L0200330	Pisum_arvense_15742	5.00	4.50	2.00	1.00	1.25	3.25	3.50	3.50	5.50	7.50	6.00	3.25	3.50
L0200332	Alzirskij	5.00	2.50	1.00	1.25	2.25	4.50	5.50	3.50	4.50	8.00	7.00	2.50	2.50
L0200333	Bento	5.00	2.50	1.00	1.25	2.50	3.50	3.50	5.00	6.50	7.50	9.00	4.00	3.50
L0200334	Hindukusch	5.00	4.50	1.50	1.00	2.75	4.00	5.00	1.25	3.50	7.00	8.75	4.25	3.75
L0200335	NolaII	5.00	3.00	1.00	1.00	2.00	3.50	3.50	4.00	5.00	7.50	8.00	2.25	2.25
L0200336	Imposant	5.00	4.25	1.50	1.50	2.00	6.00	7.50	5.00	5.00	7.50	6.25	3.25	3.75
L0200337	Vesna	5.00	4.75	1.50	1.25	3.50	4.25	6.00	5.00	5.00	4.25	5.25	4.75	3.75
L0200338	Arconia	5.00	5.67	2.17	1.17	2.00	3.17	4.33	5.00	5.00	6.83	9.00	3.00	3.17
L0200339	Gastro	5.00	2.50	1.25	1.00	2.25	4.50	5.50	4.00	5.00	7.50	5.50	2.75	3.25
L0200340	Przebedowska_Oliwkowa	5.00	4.17	1.17	1.17	1.17	4.17	5.33	5.00	6.67	5.67	6.67	5.17	5.00
L0200343	Friver	5.00	2.75	2.00	1.00	2.00	3.00	3.00	5.50	4.50	5.50	6.00	2.75	2.50
L0200344	Piver	5.00	3.00	1.75	1.75	1.75	3.50	4.00	5.00	4.50	6.50	7.00	2.50	2.75
L0200345	Perdro	5.00	3.25	2.25	1.00	2.00	3.75	4.50	5.00	5.50	4.00	5.50	2.75	3.25
L0200346	Norsup	5.00	2.50	1.00	1.25	1.50	4.25	4.00	4.00	4.50	7.00	7.50	2.25	2.50
L0200347	Gali	5.00	3.50	1.25	1.00	1.75	3.75	4.50	4.50	4.50	7.00	7.50	2.50	3.00
L0200348	Neuga	5.00	4.00	1.50	1.25	1.75	3.50	3.50	5.00	4.50	7.25	7.25	5.00	5.50
L0200349	Poneka	5.00	2.75	2.00	1.25	2.00	4.75	5.00	5.00	3.50	5.50	5.00	5.00	5.25
L0200350	Mansholt's_783-61	5.00	4.00	1.25	1.25	1.75	4.00	4.50	5.00	7.00	7.00	7.50	3.00	4.00
L0200351	Jubilejny	5.00	3.25	1.00	1.75	1.75	5.75	5.00	5.00	5.50	7.75	6.00	5.00	3.75
L0200352	Pirat	5.00	4.50	1.33	1.17	2.00	5.00	5.00	5.00	5.33	7.33	9.00	3.50	3.50
L0200353	Jelenicki	5.00	2.50	1.50	1.33	2.17	4.00	4.33	1.50	7.00	1.33	1.33	4.17	4.33
L0200354	Arvika	5.00	5.25	4.00	1.50	3.50	5.75	5.50	5.00	6.50	6.75	8.25	5.00	4.50
L0200355	Magnificient	5.00	4.75	1.25	1.00	2.25	2.75	4.00	5.00	4.50	4.50	6.00	3.25	3.75
L0200356	Pois_Grisd'_Hiver	5.00	3.75	1.25	1.00	2.00	3.25	4.00	5.00	5.50	7.00	7.00	2.50	2.75
L0200357	Pois_Grisde_Printemps	5.00	4.25	1.25	1.00	2.00	4.25	5.00	5.00	3.50	5.00	6.00	2.25	2.75
L0200358	Livia	5.00	2.00	1.50	1.00	1.50	3.00	3.50	5.00	4.00	7.00	7.50	4.75	4.25
L0200359	Rosakrone	5.00	3.25	1.25	1.25	1.50	3.25	4.00	4.50	5.00	4.25	4.50	4.00	3.75
L0200360	Lysima	5.00	5.25	1.25	1.25	1.50	3.50	4.00	4.50	6.50	6.50	6.50	2.50	3.00
L0200361	Regina	5.00	4.75	1.25	1.00	2.00	4.00	4.00	5.00	4.50	4.00	5.50	2.00	2.25
L0200362	Timo	5.00	4.50	1.83	1.17	3.00	4.17	4.00	5.00	5.33	5.33	6.33	3.17	3.17
L0200363	Trifolium_437	5.00	4.83	2.33	1.17	2.17	3.67	4.67	5.00	4.67	4.67	7.00	2.50	2.83
L0200364	Nadja	5.00	2.00	1.25	1.00	1.50	4.50	5.00	5.00	5.50	6.75	9.00	5.25	5.25
L0200365	Dia	5.00	2.00	1.25	1.25	3.50	4.50	6.00	5.00	5.50	7.25	5.50	5.25	4.75
L0200366	Sirius	5.00	2.25	1.50	1.50	3.25	4.75	5.50	5.00	6.50	7.00	8.75	4.50	4.00
L0200367	I.P.5	5.00	3.75	1.75	1.00	2.25	2.75	3.00	5.00	4.50	5.50	7.50	2.50	2.75
L0200368	Mazurska	5.00	3.83	2.17	1.17	2.83	3.67	5.67	5.00	3.33	5.83	7.00	3.33	3.67
L0200369	Nor	5.00	2.00	1.00	1.00	2.25	3.25	3.00	4.75	5.00	7.50	8.50	4.50	4.00
L0200371	Sabine	5.00	3.00	1.50	1.00	2.00	3.75	5.50	2.50	5.50	5.00	6.00	2.75	3.00
L0200372	Artona	5.00	3.00	2.00	1.50	1.50	3.33	4.00	5.00	5.00	5.00	7.00	3.33	3.00
L0200373	Magistra	5.00	5.83	2.00	1.17	2.67	4.17	4.33	5.00	4.67	7.00	8.00	2.67	3.00
L0200374	Bondi	5.00	5.25	2.00	1.75	3.00	4.00	3.50	5.00	3.00	6.00	7.00	2.50	3.25
L0200375	P.sat.convar.speciosum_1	5.00	2.25	1.00	1.50	4.00	4.25	5.50	5.00	6.50	7.25	6.50	3.50	3.00
L0200376	P.sat.convar.speciosum_2	5.00	2.75	1.50	1.50	3.50	4.50	5.50	5.00	6.00	7.25	6.25	4.50	4.00
L0200380	Verno	5.00	4.75	1.75	1.25	1.00	4.00	4.50	5.00	6.50	7.00	7.50	5.75	5.25
L0200382	Etiopie	5.00	3.25	1.00	1.00	2.75	3.50	4.50	4.50	7.00	6.50	7.50	2.00	2.00
L0200383	Etiopie/2/	5.00	3.25	4.00	1.25	1.75	3.25	3.50	5.00	3.00	5.50	7.00	2.75	2.75
L0200384	Egypt	5.00	2.75	1.25	1.00	1.75	3.75	4.50	5.00	6.50	7.50	9.00	2.25	2.00
L0200385	Hindukusch_326	5.00	1.75	1.50	1.00	1.75	4.50	5.50	4.00	5.00	6.00	7.75	4.00	4.00
L0200386	Dolfijn	5.00	3.25	1.25	1.00	2.25	3.50	3.50	3.50	6.50	3.00	2.00	3.00	3.25
L0200388	Nike	5.00	2.50	1.50	1.25	2.00	4.25	5.50	5.00	4.50	4.25	6.25	4.25	3.75
L0200389	Artturi	5.00	5.25	1.25	1.25	1.50	3.75	4.00	5.00	4.50	4.50	7.00	2.25	2.25
L0200390	JO_7636	5.00	3.75	1.50	1.75	1.25	4.50	5.50	5.00	3.50	7.50	7.25	2.75	2.75
L0200391	nsl._320/32	5.00	2.25	1.50	1.50	2.25	6.25	7.00	5.00	4.00	7.75	6.25	4.25	3.50
L0200392	Fioletowa	5.00	2.67	2.00	1.17	1.67	4.50	5.33	5.00	3.33	5.50	7.00	3.17	3.17
L0200393	nsl._Char	5.00	2.50	1.25	1.25	1.75	4.25	5.00	5.00	6.00	7.00	8.25	4.50	3.75
L0200394	Gulzower_St.	5.00	2.00	1.00	1.00	1.75	3.25	3.50	5.00	4.50	6.75	9.00	4.50	4.00
L0200395	Jihoafricky_krmny	5.00	3.00	1.75	1.00	2.00	3.50	4.00	3.00	4.50	5.50	5.00	2.25	2.25
L0200396	nsl._KR.178	5.00	3.25	1.50	1.50	2.00	3.75	3.00	5.00	4.00	4.25	7.75	3.50	2.50
L0200397	nsl._KR.240	5.00	2.50	1.25	1.50	1.50	4.50	3.50	1.00	5.00	7.00	8.50	2.75	2.50
L0200399	nsl._WPXVT	5.00	3.25	1.50	1.00	3.25	5.75	6.00	5.00	6.00	7.75	8.25	4.00	3.25
L0200400	nsl._HS4092-60	5.00	4.75	1.00	1.50	3.50	5.50	5.00	5.00	6.00	7.75	8.75	4.00	4.00
L0200401	Helia	5.00	4.83	1.83	1.83	2.17	4.67	4.00	4.67	5.33	4.83	6.83	3.33	3.50
L0200402	Irina	5.00	4.25	2.00	1.00	2.25	3.75	4.00	5.00	6.00	7.25	8.25	5.00	4.50
L0200403	Lisa	5.25	3.25	1.25	1.25	1.25	4.00	4.00	5.00	3.50	7.75	7.50	4.75	4.75
L0200404	Tyla	5.00	2.75	2.75	1.25	3.50	5.50	7.00	5.00	5.50	7.00	8.25	4.75	4.00
L0200405	Polaris	5.00	3.50	1.50	1.50	3.50	4.75	5.00	5.00	6.00	6.75	6.00	5.00	4.25
L0200406	CH7/79_n.sl.	5.00	2.75	1.50	1.50	3.50	4.50	6.00	5.00	4.00	5.25	8.00	4.25	3.75
L0200407	Golf	5.00	1.75	1.25	1.25	1.50	3.50	4.50	4.50	3.50	1.00	1.00	4.75	4.25
L0200408	Dodoni	5.00	3.00	1.75	1.75	1.25	4.00	5.50	3.00	4.50	6.50	7.50	2.50	2.25
L0200409	Olympus	5.00	3.00	1.00	1.00	1.75	5.25	6.50	5.00	5.50	7.00	7.00	3.00	3.50
L0200410	Dundale	5.00	4.25	1.75	1.00	1.25	3.75	3.00	5.00	4.50	6.50	6.50	2.50	2.75
L0200411	Minor	5.00	2.50	1.00	1.25	2.50	5.25	6.50	5.00	3.50	6.50	6.00	2.00	2.25
L0200412	Assas	5.00	3.00	1.75	1.00	2.50	5.25	6.50	4.00	5.50	6.50	6.00	2.75	2.75
L0200413	Whero	5.00	4.33	2.00	1.17	2.83	4.17	6.00	5.00	5.33	5.83	7.00	3.33	3.17
L0200414	Grapis	5.00	2.75	1.25	1.00	1.50	5.75	7.50	5.00	6.00	7.00	9.00	3.50	3.00
L0200415	Tigra	5.00	2.25	1.00	1.75	2.75	5.75	5.50	5.00	3.50	6.75	7.50	4.00	4.00
L0200416	Fidelia	5.00	5.17	4.17	1.17	2.50	4.33	5.33	5.00	5.67	5.67	7.00	2.83	3.00
L0200418	Karpathos	5.00	3.00	1.75	1.50	1.75	4.00	5.50	5.00	3.50	4.50	6.00	2.50	2.75
L0200419	Ithomi	5.00	4.25	1.75	1.25	1.50	4.75	6.00	4.00	3.00	6.00	7.50	2.25	2.50
L0200420	Vermio	5.00	3.00	2.75	1.00	1.25	3.50	4.00	5.00	3.50	4.50	6.00	2.00	2.00
L0200421	EFB_33	5.00	3.75	1.50	1.25	1.50	5.25	6.50	3.50	4.00	5.00	5.00	2.50	2.50
L0200422	Mewa	5.00	4.67	2.33	1.83	3.00	5.00	6.33	5.00	3.33	5.67	7.00	3.50	3.67
L0200423	Mige	5.00	4.00	2.17	1.50	3.33	4.00	5.33	1.00	3.00	1.00	1.00	3.33	3.17
L0200424	Algera	5.00	3.25	1.50	1.00	3.00	3.25	8.00	5.00	6.50	8.00	6.25	4.75	4.50
L0200425	Ina	5.00	2.25	4.00	2.00	3.00	4.25	5.00	3.00	6.00	7.25	8.75	4.75	4.00
L0200426	Dora	4.25	2.25	5.00	2.75	1.75	5.25	4.50	5.00	3.50	7.75	9.00	5.00	4.75
L0200427	Salome	5.00	3.00	1.25	1.25	2.00	3.50	4.50	5.00	4.50	6.00	6.00	2.50	2.50
L0200428	Paisa	5.00	4.50	1.25	1.50	2.00	4.25	4.50	4.00	5.50	5.50	9.00	2.50	2.50
L0200429	Magnus	3.00	0.00	0.00	0.00	0.00	4.00	5.00	4.50	9.00	4.00	4.25	5.75	5.25
L0200430	nsl._CH-17	5.00	2.25	1.50	1.00	1.75	3.75	4.50	4.00	6.00	7.25	6.00	4.50	3.50
L0200431	Andrea	5.00	2.25	4.75	2.75	2.25	4.00	4.00	5.00	6.00	7.25	7.50	5.00	4.25
L0200432	nsl._HM-117	5.00	1.50	1.00	1.50	1.50	4.00	5.00	5.00	6.00	7.50	7.50	3.25	2.75
L0200433	nsl._HS-70267	5.00	1.75	1.50	1.25	1.75	3.50	5.00	5.00	4.50	5.75	7.25	3.50	3.25
L0200434	Livia	5.00	1.50	1.00	1.25	1.75	4.00	3.50	4.50	5.50	7.50	7.75	5.25	4.00
L0200436	Assas	5.00	4.50	1.25	1.00	1.75	3.75	5.00	5.00	3.50	6.00	7.00	2.75	3.00
L0200439	nsl._SG-C-3225	5.00	2.50	2.75	2.75	1.25	3.75	5.00	5.00	5.00	7.50	7.75	4.25	4.00
L0200441	Orpela	5.00	2.00	1.50	1.00	1.67	5.33	5.33	4.50	6.67	7.50	7.67	3.33	3.00
L0200442	Orel-25	3.00	0.00	0.00	0.00	0.00	5.00	3.67	5.00	7.33	7.50	8.67	3.67	3.50
L0200443	Imposant	5.00	6.00	1.25	1.25	3.25	5.25	6.50	5.00	6.50	6.50	7.50	3.50	4.00
L0200444	Susan	5.00	3.00	1.50	1.50	2.25	2.25	3.50	5.00	3.50	6.50	6.00	2.25	2.50
L0200445	Reydelos_Carouby	5.00	3.00	1.25	1.00	2.25	6.25	8.50	5.00	3.00	6.00	8.00	4.00	4.00
L0200446	Tombola	5.00	5.00	1.50	1.25	2.50	4.75	5.50	5.00	5.50	4.00	6.50	3.00	3.50
L0200447	Caroubel	5.00	5.50	1.50	1.50	2.25	3.50	4.50	4.50	3.50	5.00	5.50	4.50	4.75
L0200448	Blauwschokker	5.00	3.50	1.25	1.25	2.00	2.75	3.50	5.00	7.00	6.00	6.00	2.75	2.50
L0200449	Enka	5.00	4.00	1.25	1.25	2.50	4.00	4.50	5.00	6.50	6.00	6.00	2.25	2.25
L0200450	Waldmanns_Futterfreude	3.00	0.00	0.00	0.00	0.00	3.25	4.50	5.00	9.00	7.50	8.50	4.25	3.75
L0200451	Rhea	5.00	4.33	4.17	1.50	2.50	3.50	4.00	5.00	3.33	4.83	7.00	3.00	3.17
L0200453	Bitenax	5.00	4.00	1.50	1.25	2.50	4.50	5.00	5.00	6.50	7.25	8.50	3.00	3.00
L0200454	Lucie	5.00	2.50	1.25	1.25	1.25	3.50	3.50	4.00	4.00	1.25	1.50	4.00	3.00
L0200455	Mely	5.00	2.75	2.00	1.25	1.50	4.00	4.00	5.00	5.00	3.50	3.75	3.50	2.75
